id,text,label
10,"The old Popheads can’t come to the phone right now. Why?

BECAUSE THEYRE LIVING",fandom_expression
11,I'm so ashamed. Yesterday I bought this in itunes. So today I got in my car and my crappy phone had only downloaded three songs. And I was near a Target... so I bought it again....,external_narrative
12,"In my opinion, this album is one of the most aggressively bad albums I've ever heard. The songs are overproduced, repetitive and dull. Taylor's signature songwriting prowess is completely absent in this """"""edgy"""""" album where the same two concepts, reputation and infatuation, are repeated over and over and over again.",artistic_critique
13,DELICATE >,fandom_expression
14,"Ok popheads

Should I buy it?

Disclaimer: this would be the first time I sent money Taylor's way but I'm very tempted.",external_narrative
15,"Hype aside, I’m really impressed with the record. I’m not sure if it’ll age as well as 1989 (which is manicured to feel timeless) but it’s actually sharp and unexpected and oddly personal.

Those fans saying this was better than Red need to get their ears checked!",artistic_critique
16,Mark My Words. End Game will be an 8-week #1 Billboard Hot 100 Song. Thank you. Bye.,external_narrative
17,MY BODY WAS NOT READY FOR DELICATE!,fandom_expression
18,In two to three years I would like to see how would we look back at this album.,external_narrative
19,Did we all forget that Witness surprisingly didn't leak as well? But I am thoroughly impressed that she even pushed back the NZ iTunes to really have a WW release. wow.,external_narrative
20,"The album is okay to bad. The only clear stand out is I Did Something Bad. It should be the second single, would easily #1

But we all know one of the worst songs is going to be the next single and will sadly top the charts for 12 weeks. End (my) Game.",artistic_critique
21,"I honestly think people should listen to it again and then pass judgement because I honestly hated it on first listen but after listening again I really appreciated the songs more. Sometimes we have to be positive about albums and just because we don’t like some parts of the song we just shut it down completely. But of course if you are really not feeling it, it’s ok.

Imo the album has good instrumentals and beats and lyrics were less fairy tale, cheesy stuff. It’s growing on me and compared to witness this is much better.",artistic_critique
22,This is... not good. I'm going back to 1989.,artistic_critique
23,Only heard the album once so far but I'm surprised there is no love for New Years Day. End Game is a hit too.,artistic_critique
24,"So I listened to it twice and I have my thoughts.

I’m just going to say personally that this isn’t Taylor’s best work and I’m confused why people were even saying that. Majority of the songs are pretty generic and over-produced. Are they catchy? Sure. That doesn’t always mean a good a thing. I do like some songs though. I just hope next album that she really gets back to her better lyrics because when saying her self titled has way better writing than this is just weird being that she was 14 when writing that album and she is now basically 28. Maturity is lacking I guess is what I’m saying.

Anyway the songs I personally liked or can see myself replaying is End Game (which was shocking, but I personally liked the flow of it), Don’t Blame Me, Getaway Car, Dancing With Our Hands Tied, Call It What You Want, and King Of My Heart.

Does anyone feel like New Year’s Day is a rough draft? I don’t know just something seems off like she had more to add, but didn’t.

Can I just say that I hope future wise that Taylor personally takes some self responsibility if she’s going to talk about past drama because personally it really has just ended looking very childish and petty musically. Just brings down the talent she does have.",artistic_critique
25,"Delicate, Getaway Car, Dancing with our Hands Tied, and Call it What You Want are giving me life.

I can’t figure out New Years Day as the album closer. I don’t dislike the song but it doesn’t seem to fit at all. I wish the album just ended with CIWYW.",artistic_critique
26,"Okay yall her are my thoughts. Even though I am labelled as a ""taylor hater"" by some crazy stans I think I am very fair.

Great Songs: Don't Blame Me, Delicate, Dancing With Our Hands Tied

Good Songs: Getaway Car, Dress, So It Goes...

Average Songs: Call It What You Want, End Game, New Year's Day,

Below Average Songs: ...Ready For It?, I Did Something Bad, Look What You Made Me Do, King Of My Heart

Bad Songs: Gorgeous, This Is Why We Can't Have Nice Things

Overall: The album sonically is a double edged sword. It is truly the star of the album, but is also the downfall for some of the lowest points of the album. Taylor's experimenting with vocal effects pays off for majority of the songs and really contributes to making certain songs as good as they are. Taylor lyrically has some strong points and her pop song writing has improved, but consistency is still an issue.

Will this album convert non Taylor fans? Maybe a couple songs will. Will this album be received by Taylor fans well? For the most part. Will critics rave about this album as much as they did with 1989? Nope. Does this album have some of her best songs? Yes. Does this album have some of her worst songs? Yes.

This album has put Taylor on a path I am excited to see her explore deeper. 7/10",artistic_critique
27,Wow this album is not good. I was hoping for something in the vein of 1989 and this is... not.,artistic_critique
28,"I covered my mouth at ""I'm not the only friend you've lost lately"" Damn girlllllll

Lol this song has highs and lows tbh Generally it's an okay track but the use of shady, the actual title and the snort laugh.... is so cringe but hey, it has amusement value",artistic_critique
29,So when's her tour...?,external_narrative
30,This album is pretty great. After a couple listens I can safely say that I enjoy the majority of it. It harken bsck to early 2010s production of pop while also sounding modern. Dress is a bop and sounds like a Carly Rae Jepson song,artistic_critique
31,New Years Day is going straight into my Christmas playlist.,external_narrative
32,"This album is only just ‘fine’ for me so far. I don’t think I’ll end up liking it more than Red or 1989, but we shall see - I feel like some tracks may have much longer replay value than others but it’s all just way too early to tell for me.",artistic_critique
33,"WHAT EVEN IS TODAY??? Reputation leaks, our house was sparking/smoking (thought it was on fire), and now I'm on my way to see my close friend! She's been in Venice for almost 12 months. What a day! 😭",external_narrative
34,The whole album is now out there in HQ.,external_narrative
